title;category_slug;verdict;explanation;alternatives;keywords;dtu_refs
"Passer une gaine dans une poutre béton armé ?";"structure";"forbidden";"Le carottage coupe les armatures = affaiblissement majeur de la portance. Réservé aux études BET avec calcul renforcement. En général, contournement obligatoire (gaine apparente, faux-plafond).";"Faux-plafond avec gaines apparentes habillées, contournement de la poutre, ou descente de gaine en cloison.";"poutre béton, gaine, carottage, armatures, BET";"NF P 06-100"
"Enterrer partiellement un pignon (création garage en sous-sol) ?";"structure";"conditional";"Reprise en sous-œuvre obligatoire : étude géotechnique G2, fondations adaptées, étanchéité verticale (cuvelage), drainage périphérique. Coût 800-1500 €/m² minimum.";"Garage adossé en surélévation (ne touche pas la fondation), abri démontable séparé.";"sous-sol, pignon, sous-œuvre, cuvelage, drainage, G2";""
"Agrandir une fenêtre dans un mur porteur ?";"structure";"conditional";"Linteau actuel à reprendre : nouveau linteau béton armé ou IPN dimensionné par BET selon largeur d'ouverture. Étaiement provisoire avant intervention obligatoire.";"BET (200-500 €), entreprise qualibat 2113, ou changer la fenêtre dans le gabarit existant (sans ouvrir plus).";"agrandir fenêtre, mur porteur, linteau, IPN, BET";"NF P 06-100"
"Casser un poteau métallique d'origine (IPN visible) ?";"structure";"forbidden";"Le poteau reprend des charges concentrées (souvent point de descente d'IPN). Suppression sans étude = effondrement immédiat ou différé. BET impératif + solution de report (poutre principale renforcée).";"BET pour étude reprise (500-1500 €), habillage du poteau (placo, bois, design industriel), déplacement encadré par pro.";"poteau métallique, IPN, BET, descente charges";"NF P 06-100"
"Aménager une mezzanine dans un volume existant ?";"structure";"conditional";"Plancher mezzanine = charge ~150 kg/m² minimum (résidentiel). Fixations sur murs porteurs, solivage dimensionné par BET ou pro. HSP de 1,80 m sous mezzanine pour usage régulier.";"Mezzanine sur poteaux indépendants (autoporteuse), hauteur réduite (rangement uniquement, accès ponctuel).";"mezzanine, plancher, charge, HSP, BET";"NF P 06-100"
"Bétonner un sous-sol pour étanchéité ?";"structure";"discouraged";"La dalle béton seule ne stoppe pas les remontées capillaires sur les murs. Étanchéité globale = cuvelage intérieur (résine ou enduit hydrofuge) + drain extérieur. Béton mal posé = piège à humidité.";"Cuvelage intérieur professionnel (50-100 €/m²), drain extérieur périphérique, ventilation mécanique forte.";"sous-sol, étanchéité, dalle, cuvelage, drain";""
"Casser une trumeau (pan de mur entre deux fenêtres) ?";"structure";"conditional";"Si mur porteur : redistribution des charges des linteaux supérieurs sur poutre de remplacement. Étude BET obligatoire. Souvent intervention lourde avec étaiement provisoire long.";"BET + IPN, ou agrandir une seule fenêtre côté trumeau (moins invasif).";"trumeau, mur porteur, linteau, IPN, BET";"NF P 06-100"
"Terrasse bois en bord de piscine ?";"exterieur";"conditional";"Essence imputrescible classe 4 (ipé, cumaru, accoya) ou composite haut de gamme. Antidérapant R11 minimum. Distance 30 cm minimum entre lames pour évacuation eau, traitement antifongique annuel.";"Carrelage extérieur grès cérame R11 (entretien minimal), pierre reconstituée antidérapante, dalle composite drainante.";"terrasse piscine, ipé, classe 4, antidérapant, R11";""
"Terrasse au-dessus d'un garage non isolé ?";"exterieur";"conditional";"Étanchéité bicouche bitumeuse ou EPDM obligatoire avant tout revêtement. Pente 1-2 % vers évacuations. Isolation thermique inversée recommandée (limite ponts thermiques garage).";"Toiture-terrasse plots + dalles 60×60, terrasse bois sur plots avec EPDM, ou laisser le toit en accessibilité technique.";"terrasse garage, étanchéité, EPDM, bicouche, toiture-terrasse";""
"Garage transformé en pièce habitable sans permis ?";"exterieur";"forbidden";"Changement de destination = déclaration préalable ou permis selon SHON modifiée. Sans : amende, taxe foncière non régularisée, refus en revente, assurance non couverte.";"Déclaration préalable mairie (gratuite, 1 mois), permis si SHON >20 m² supplémentaire, conserver le garage en l'état.";"garage, pièce habitable, changement destination, permis, SHON";""
"Carport sans permis ?";"exterieur";"conditional";"≤5 m² = libre. 5-20 m² = déclaration préalable. >20 m² = permis. Hauteur >12 m = permis quel que soit. Vérifier PLU local (zones protégées).";"Carport ≤5 m² (libre), DP en mairie (gratuit, 1 mois), abri tonnelle démontable.";"carport, permis, déclaration préalable, PLU";""
"Muret de jardin >2 m de hauteur sans déclaration ?";"exterieur";"forbidden";"Murs et clôtures >2 m = déclaration préalable obligatoire (Code de l'urbanisme). PLU peut imposer hauteur max ou DP dès 1 m.";"Mur ≤2 m (libre selon PLU), DP en mairie, ou clôture végétale (haie).";"muret, mur jardin, déclaration préalable, urbanisme, PLU";""
"Clôture mitoyenne posée sans accord du voisin ?";"exterieur";"forbidden";"Clôture mitoyenne = propriété et entretien partagés. Sans accord écrit du voisin : refus possible, démontage à vos frais. Limite séparative parfois meilleure (clôture privée sur votre terrain).";"Clôture en limite séparative côté votre parcelle (pas mitoyenne), accord écrit + 50/50 du coût, médiation conseil syndical.";"clôture mitoyenne, voisin, limite séparative, accord";""
"Piscine sans clôture de sécurité enfants ?";"exterieur";"forbidden";"Loi 2003 : tout bassin enterré privatif doit avoir un dispositif de sécurité (barrière NF P90-306, alarme NF P90-307, couverture NF P90-308 ou abri NF P90-309). Amende 45 000 €.";"Barrière homologuée NF (300-1500 € selon longueur), alarme immergée NF, volet roulant de sécurité, abri télescopique.";"piscine, sécurité, clôture, NF P90, enfants";""
"Tonnelle fixe vs mobile (urbanisme) ?";"exterieur";"conditional";"Tonnelle démontable saisonnière = libre. Tonnelle fixe ancrée au sol >5 m² = déclaration préalable. >20 m² = permis. Durabilité installation = critère mairie.";"Tonnelle textile démontable (pas de DP), pergola DP en règle, voile d'ombrage rétractable.";"tonnelle, mobile, fixe, déclaration préalable, démontable";""
"Poulailler dans un lotissement résidentiel ?";"exterieur";"conditional";"Vérifier règlement de lotissement (souvent silencieux mais possible interdiction). Coq généralement interdit (nuisance sonore). Distance 25 m minimum d'habitation voisine selon RSD départemental.";"Poules sans coq (autorisé partout en général), poulailler ≤5 m² (pas de DP), demande à la mairie pour confirmation.";"poulailler, lotissement, coq, RSD, voisinage";""
"Traitement bois extérieur sans certification CTBP+ ?";"exterieur";"discouraged";"Bois non traité ou traité bas de gamme : pourrissement en 3-5 ans en classe 3-4 d'usage. CTBP+ ou Wolmanit garanti 15-25 ans selon classe.";"Essences naturellement classe 4 (ipé, robinier, mélèze cœur), bois autoclave classe 4 CTBP+, composite WPC.";"traitement bois, CTBP+, autoclave, classe 4, ipé";""
"Éclairage extérieur 230 V vs 12 V ?";"exterieur";"compatible";"230 V : puissance illimitée, IP65 minimum extérieur, ligne dédiée disjoncteur 30 mA. 12 V (TBTS) : sécurité totale, transformateur extérieur IP44, parfait pour balisage paysager.";"";"éclairage extérieur, 230V, 12V, TBTS, IP65, paysager";"NF C 15-100"
"Jardinière lourde sur terrasse étanchée ?";"exterieur";"conditional";"Charge ponctuelle 50-200 kg/m² selon volume. Vérifier portance terrasse (limite 250-300 kg/m² courant). Patins répartiteurs sous jardinière + protection étanchéité (feutre, dalle).";"Jardinière sur roulettes (déplaçable), suspendue sur garde-corps, ou jardinière intégrée à la conception terrasse.";"jardinière, terrasse étanchée, portance, EPDM, patin";""
"Toiture végétalisée sur abri jardin ?";"exterieur";"conditional";"Surcharge 80-150 kg/m² gorgée d'eau. Charpente abri standard pas dimensionnée : renfort solive ou poutre supplémentaire. Étanchéité EPDM + film anti-racines obligatoires.";"Toit en bac acier classique, toiture bardeaux bitumés, charpente renforcée (calcul portance) avant végétalisation.";"toiture végétalisée, abri jardin, EPDM, anti-racines, charpente";""
"Cabane bois en limite parcelle ?";"exterieur";"conditional";"PLU impose souvent retrait 3 m mini en limite séparative. Vérifier auprès mairie. Sans retrait : possible accord voisin écrit + DP en cas de >5 m².";"Implantation à 3 m de la limite (conforme PLU), accord écrit voisin si dérogation, abri ≤5 m² (libre, mais retrait reste applicable).";"cabane bois, limite parcelle, PLU, retrait, voisin";""
"Piscine hors-sol démontable >10 m² ?";"exterieur";"compatible";"Démontable + installée <3 mois/an = libre. Au-delà ou laissée à demeure : déclaration préalable comme piscine fixe.";"";"piscine hors-sol, démontable, déclaration préalable, 3 mois";""
"Coffre fort enterré dans le jardin ?";"exterieur";"conditional";"Permis si construction maçonnée associée (bâtiment) : DP/permis selon volume. Coffre seul enterré dans une dalle existante = libre. Vérifier PLU et nappe phréatique.";"Coffre encastré dans dalle existante (libre), coffre intérieur certifié EN 1143-1, casier banque.";"coffre fort, enterré, jardin, certification, EN 1143";""
"Poêle à granulés étanche en VMC double flux ?";"chauffage";"compatible";"Poêle étanche (label flamme verte 7) avec arrivée d'air directe extérieure : aucune interaction négative avec VMC double flux. Recommandé pour maisons RT 2012/RE 2020.";"";"poêle granulés, étanche, flamme verte, VMC double flux, RE 2020";"DTU 24.1"
"Insert bois dans cheminée existante ?";"chauffage";"conditional";"Tubage inox isolé Ø150-180 obligatoire dans le conduit existant (norme NF EN 1856-2). Vérifier section conduit, tirage, distance matériaux combustibles. Coût insert + tubage 2500-5000 €.";"Poêle à bois indépendant raccordé sur conduit tubé (plus simple), poêle pellets ventouse (sortie murale).";"insert, cheminée, tubage, NF EN 1856, foyer fermé";"DTU 24.1"
"Radiateur électrique inertie sèche vs fluide ?";"chauffage";"compatible";"Inertie sèche (fonte, céramique, stéatite) : monte en chauffe rapide, restitue longtemps. Inertie fluide : confort thermique homogène. Différence ressenti modérée. Choix selon budget et préférence.";"";"radiateur inertie, sèche, fluide, fonte, céramique";""
"Climatisation réversible monosplit ?";"chauffage";"compatible";"PAC air-air monosplit = COP 3-5, SCOP 3,5-4,5 selon classe. Bonne solution pour pièce principale. Maintenance annuelle obligatoire >2 kg fluide. Bruit unité extérieure 35-50 dB.";"";"climatisation, monosplit, PAC air-air, COP, SCOP";""
"Thermostat connecté sur PAC ancienne ?";"chauffage";"conditional";"Compatibilité dépend du protocole PAC (OpenTherm, ON/OFF, modulation 0-10 V). PAC vintages : protocole propriétaire, thermostat connecté souvent incompatible. Vérifier la notice.";"Module Wi-Fi du fabricant PAC (Daikin, Atlantic), thermostat OpenTherm si supporté, remplacement PAC si trop ancienne.";"thermostat connecté, PAC, OpenTherm, modulation";""
"Ballon thermodynamique en buanderie non chauffée ?";"chauffage";"discouraged";"Ballon thermo a besoin d'air à 7-30°C pour fonctionner (COP optimal). Buanderie non chauffée en hiver (<5°C) = bascule sur résistance électrique = consommation +200 %. Volume mini 20 m³.";"Garage non chauffé mais hors-gel >7°C, cellier ventilé, ou ballon air extrait raccordé sur VMC.";"ballon thermodynamique, COP, buanderie, hors gel, volume";""
"Raccordement chaudière sur conduit non tubé ?";"chauffage";"forbidden";"Chaudière condensation produit fumées acides (40-60°C) : conduit maçonné non tubé se dégrade en 1-3 ans + risque émanation CO. Tubage inox annelé condensation obligatoire (NF EN 14471).";"Tubage inox PP/PPs spécial condensation, chaudière ventouse (rejet en façade), conduit concentrique 80/125.";"chaudière, conduit non tubé, condensation, NF EN 14471, CO";"DTU 24.1"
"Appoint électrique sur PAC air-eau ?";"chauffage";"conditional";"Résistance d'appoint dans le ballon tampon ou ECS : utile par grand froid (-7°C extérieur, COP en chute). Limiter par programmation pour éviter surcoût électrique. Ligne dédiée 32 A.";"PAC bibloc plus puissante (sans appoint), poêle à granulés en complément (zone vie).";"PAC air-eau, appoint électrique, ballon tampon, COP, grand froid";""
"Ventilation cheminée fermée (foyer + insert) ?";"chauffage";"conditional";"Hotte décoration nécessite grilles d'aération haute (chaleur) et basse (air comburant). Sans : surchauffe hotte, risque feu charpente, mauvaise combustion. Air primaire extérieur recommandé.";"Insert étanche avec arrivée d'air extérieur direct, foyer ouvert décoratif (peu performant mais sans hotte fermée).";"cheminée fermée, ventilation, hotte, air comburant, étanche";"DTU 24.1"
"Chaudière gaz à condensation en remplacement chaudière fioul ?";"chauffage";"compatible";"Possible si raccordement gaz disponible (réseau ou citerne propane). Bien plus efficace (rendement 105-110 %), aides MaPrimeRénov disponibles. Conduit fioul à neutraliser/déposer.";"PAC air-eau (aides supérieures, hors gaz), chaudière granulés (aides très bonnes, autonomie énergie locale).";"chaudière condensation, fioul, MaPrimeRénov, gaz, propane";"DTU 24.1"
"Prise USB encastrée en remplacement prise classique ?";"electricite";"conditional";"Prise mixte 230 V + USB type C/A : faisable dans une boîte d'encastrement standard 40 mm. Vérifier puissance USB-C (souvent limitée 12-15 W vs charge rapide téléphone moderne).";"Prise classique + chargeur séparé sur table, ou bloc multiprises avec USB intégré.";"prise USB, encastrée, USB-C, charge rapide, boîte 40mm";"NF C 15-100"
"Spot encastré dans plafond placo isolé (laine soufflée) ?";"electricite";"conditional";"Spot doit être marqué \"isolation couvrant\" (ICO) sinon surchauffe et risque incendie. Sortie max 50 W halogène ou LED équivalent. Boîte d'encastrement spécifique avec écran de protection.";"Spot ICO certifié, spot apparent (saillie), réglette LED en remplacement, suspension classique.";"spot encastré, plafond, isolation, ICO, surchauffe";"NF C 15-100"
"Câble RJ45 catégorie 6 vs catégorie 7 en habitat ?";"electricite";"compatible";"Cat 6 : 1 Gbit/s, suffisant pour 99 % des usages domestiques (fibre 1 Gbps, 4K streaming). Cat 7 : 10 Gbit/s, surdimensionné, plus rigide, plus cher. Cat 6a bon compromis futur.";"";"RJ45, cat 6, cat 7, cat 6a, fibre, gigabit";"NF C 15-100"
"Interrupteur connecté sur va-et-vient existant ?";"electricite";"conditional";"Va-et-vient classique 2 fils : nécessite interrupteur connecté \"sans neutre\" + module récepteur dans la boîte. Plus simple : module Shelly/Wago derrière l'interrupteur si neutre dispo.";"Tirer un fil neutre (gros chantier), module Shelly 1 si neutre disponible, interrupteur connecté Legrand Netatmo \"sans neutre\".";"interrupteur connecté, va-et-vient, neutre, Shelly, Netatmo";"NF C 15-100"
"Borne de recharge VE en parking copropriété ?";"electricite";"conditional";"Droit à la prise (loi LOM) : copropriété ne peut refuser sauf motif sérieux. Installation sur compteur individuel (sous-comptage) ou compteur collectif refacturé. Étude technique syndic obligatoire.";"Borne sur place privative (plus simple), gestionnaire de bornes (Izivia, Driveco) qui prend en charge le déploiement.";"borne recharge, copropriété, LOM, sous-comptage, IRVE";"NF C 15-100"
"Coffret de chantier comme tableau définitif ?";"electricite";"forbidden";"Coffret de chantier = protection IP44 provisoire, non conforme tableau définitif (NF C 15-100 : 6 ou 8 modules par rangée, GTL, identification, etc.). Refus Consuel garanti.";"Tableau électrique modulaire à enclenchement (Hager, Schneider, Legrand), passage Consuel obligatoire avant ENEDIS.";"coffret chantier, tableau définitif, NF C 15-100, Consuel, GTL";"NF C 15-100"
"Prise commandée par interrupteur (lampadaire) ?";"electricite";"compatible";"Faisable : ligne 16 A protégée 30 mA, interrupteur en amont. Marquage repère obligatoire sur la prise (souvent rouge/marqué). Prévu dès la pose ou en rénovation avec saignée.";"";"prise commandée, interrupteur, lampadaire, repère, 16A";"NF C 15-100"
"Spots LED encastrés en faux-plafond isolé en BA13 ?";"electricite";"conditional";"Si isolant en contact avec spots non-ICO : surchauffe en quelques heures. Solution : boîte d'encastrement étanche ICO, ou écarter l'isolant de 30 cm autour de chaque spot (déperdition).";"Spots ICO certifiés (boîte hermétique étanche), suspension classique, ruban LED périphérique sans contact direct.";"spot LED, faux-plafond, isolation, ICO, surchauffe";"NF C 15-100"
"Transformateur 12 V dans cloison fermée (sans accès) ?";"electricite";"forbidden";"Transformateur dégage de la chaleur (5-15 W perte). Sans aération : surchauffe, panne, risque incendie. NF C 15-100 impose accessibilité pour maintenance.";"Trappe d'accès dans la cloison, transformateur en faux-plafond avec accès, ruban 230 V intégré sans transfo.";"transformateur, 12V, cloison, accessibilité, surchauffe";"NF C 15-100"
"Adoucisseur d'eau sur arrivée générale ?";"plomberie";"conditional";"Recommandé si dureté >25°f. Position entre compteur et distribution intérieure, by-pass eau brute jardin, dérivation eau potable cuisine. Maintenance sel tous 1-3 mois selon consommation.";"Anti-tartre magnétique (efficacité limitée, sans entretien), filtre cartouche, ou rien si dureté <15°f.";"adoucisseur, dureté, calcaire, by-pass, sel";""
"Purger un réseau ECS apparent en hiver ?";"plomberie";"compatible";"Indispensable pour tuyaux ECS exposés au gel (garage, vide sanitaire). Vidange par robinet de purge bas, ouverture mitigeurs en position chaude. Reprise après hiver : remplir, purger l'air.";"";"purge réseau, ECS, gel, hiver, vidange";""
"Colonne montante en copropriété ?";"plomberie";"conditional";"La colonne montante = partie commune (avant compteur d'appartement). Aucune intervention copropriétaire individuelle. Réfection = vote AG. Travaux dans appartement avant compteur = interdits.";"Vote en AG copro pour réfection collective (mise aux normes), vérification annuelle par syndic.";"colonne montante, copropriété, partie commune, AG";""
"Pomme de douche éco vs débit nominal ?";"plomberie";"compatible";"Pomme éco 6-9 L/min (vs 12-20 L/min standard) : 50 % d'économie eau et chauffage ECS, confort préservé via micro-aération. Compatible avec mitigeurs et chauffe-eau classiques.";"";"pomme douche, éco, débit, économie, micro-aération";""
"Robinet thermostatique sur radiateur en chauffage PAC ?";"plomberie";"conditional";"Compatible avec PAC à débit constant (avec bouteille de découplage). Sur PAC à débit variable sans bouteille : risque d'arrêts intempestifs si trop de robinets fermés. Vérifier configuration installation.";"Bouteille de découplage si absente (~300-500 €), robinet thermostatique sur 1-2 radiateurs seulement (priorité chambres), thermostat ambiance unique.";"robinet thermostatique, PAC, bouteille découplage, débit variable";""
"Évacuation lave-linge sans siphon ?";"plomberie";"forbidden";"Sans siphon : remontée d'odeurs égouts dans le lave-linge et la pièce. Siphon obligatoire (haut ou inférieur) avec garde d'eau ≥50 mm.";"Siphon mural standard 40 mm, ou évacuation directe sur colonne avec siphon intégré.";"évacuation lave-linge, siphon, garde eau, odeurs";"DTU 60.11"
"Mitigeur sur arrivée d'eau brute (sans filtre) ?";"plomberie";"discouraged";"Particules (sable, oxydes) abîment cartouche céramique en quelques mois → fuite, dureté de manœuvre. Filtre Y 80-100 µm en amont du compteur recommandé.";"Filtre Y permanent ou cartouche échangeable, station de filtration centrale (anti-impuretés + adoucisseur).";"mitigeur, eau brute, filtre, cartouche céramique";"DTU 60.1"
"Raccord rapide PEX sans sertissage ?";"plomberie";"discouraged";"Raccords push-fit (Sharkbite, JG Speedfit) : faciles mais durabilité contestée vs sertissage propre. Tolérés en accessible (visitable). En encastré : à proscrire (risque fuite invisible).";"Sertissage avec pince adaptée (location 30 €/jour), raccords laiton à compression bicône, pose par pro pour zones encastrées.";"raccord rapide, PEX, push-fit, sertissage, encastré";"DTU 60.5"
